Versions of Utilities Included with this Synchronet Package
===========================================================

The "Filename" column specifies the program filename or sub-directory.
The "Vers" column indicates the version number of the program.
The "SBBS" column indicates the SBBS package when the program was last updated.
The "Description" column is a description of the program.

Filename     Vers  SBBS Description
--------     ----  ---- -------------------------------------------------------
UTI*	     2.23  220A UTI driver set for PostLink v1.05+
ADDFILES     2.22  220B Add files to database from DOS prompt or BAT file
DELFILES     1.01  220B Delete files from database or disk from DOS prompt
FILELIST     2.10  220A Generate ASCII file listings of file directories
DUPEFIND     1.01  210A Finds duplciate file names in file directories
AUTONODE     2.00  200A Find first available node for local logon
BAJA	     2.01  220B Command shell/module (EXEC\*.SRC) compiler
NODE	     1.03  1B03 Node display/control utility
SLOG	     1.01  210A System/node statistics log viewer
DSTSEDIT     1.01  200A System/node daily statistics editor
ANS2MSG      1.06  220A ANSI to Ctrl-A conversion utility (for ASC/MSG files)
MSG2ANS      1.03  200A Ctrl-A to ANSI conversion utility
MLABELS      2.11  220A Generate mailing labels from Synchronet user data
TONE	     1.01  200A Tone generation utility (external chat pager)
DBCS	     1.00  1C01 DigiBoard channel status utility
USER	     1.00  1A12 Pull specific user logons out of DATA\LOGS\*.LOG files
ALLUSERS     2.11  220A Bulk command line user editor
QWKNODES     1.20  220A QWKnet Node/Route/User list generator
CHKSMB	     1.24  220A Checks Synchronet message base(s) for corruption
FIXSMB	     1.22  220A Rebuilds Synchronet message base index and alloc files
SMBUTIL      1.24  220A Message base utility for maintaining and packing
SMBACTIV     1.00  210A Displays message base activity (users reading subs)
SYNCEDIT     2.05  220B SyncEdit external message editor (Unregistered)
SBBSECHO     1.12  220B FidoNet EchoMail import/export program (Unregistered)
XTRN\SDK     2.34  220B External program software developer's kit (Freeware)
XTRN\SBJ     2.31  220A Synchronet Blackjack Game with C source code (Freeware)
XTRN\SBL     1.36  220A Synchronet BBS List Door with C source code (Freeware)
XTRN\SCB     1.32  220A Synchronet Callback Verifier (Unregistered)
XTRN\SMM     1.31  220B Synchronet Match Maker (Unregistered)
XTRN\SCP     2.30  200A Supernet Centipede (Freeware)
XTRN\DPOKER  1.40  200G Domain Poker Multi-Player Online Game (Unregistered)
