%C|05==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==
  |14Top Players
|05==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==-==
  |13No.6         |12   321,239,486,352 XP   |09Level XXIII  |11Kingdom of Peasants
  |13O.J. Simpson |12    45,523,074,630 XP   |09Level XXII   |11Kingdom of Lies
  |13Joe Blow     |12    23,636,534,605 XP   |09Level XXI    |11Kingdom of Blowholes
  |13Evil Doer    |12     6,666,666,666 XP   |09Level XX     |11Kingdom of Satan
  |13The Clap     |12     3,079,023,054 XP   |09Level XIX    |11Kingdom of Satan
  |13Widowmaker   |12     1,075,598,743 XP   |09Level XVII   |11Kingdom of Widows
  |13Layman       |12        94,078,746 XP   |09Level XV     |11Kingdom of Lay-Me
  |13The Doctor   |12        45,065,045 XP   |09Level XIIV   |11Kingdom of Hospital
  |13Dude         |12               548 XP   |09Level II     |11Kingdom of Dudes
  |13I Suck       |12                23 XP   |09Level I      |11Kingdom of Dudes
%P  |13John Doe     |12                13 XP   |09Level I      |11Kingdom of John
  |13Frank        |12                 2 XP   |09Level I      |11Kingdom of John
  |13Tom          |12                 2 XP   |09Level I      |11Kingdom of Shmoes
  |13Dick         |12                 1 XP   |09Level I      |11Kingdom of Shmoes
  |13Harry        |12                 0 XP   |09Level I      |11Kingdom of Shmoes
  |13This Game Sux|12                 0 XP   |09Level I      |11Kingdom of Sux
  |13Newbie       |12                 0 XP   |09Level I      |11Kingdom of Newbies
  |13I Hate Doors |12                 0 XP   |09Level I      |11Kingdom of IDoors
  |13Napolean     |12                 0 XP   |09Level I      |11Kingdom of France
